2MASS,GaiaDR2,Name,RAJ2000,DEJ2000,pmRA,pmDE,plx,r-astro,rv,r_rv,Cluster,Member,J17,L18-t1,L18-t6,Dist,SimbadName
2MASS J04220217+2657304,Gaia DR2 152292187332155008,FSTauA+B,04 22 02.18,+26 57 30.6,,,,,17.890,17,0,0,1,1,0,,2MASS J04220217+2657304
2MASS J04220313+2825389,Gaia DR2 164550882989640192,LkCa21,04 22 03.14,+28 25 39.0,10.270,-25.864,8.344,GaiaDR2,16.330,17,0,0,1,1,0,,2MASS J04220313+2825389
2MASS J04220496+1934483,Gaia DR2 48193213849576320,RXJ0422.1+1934,04 22 04.97,+19 34 48.2,6.757,-12.729,6.936,GaiaDR2,,,19,1,0,1,0,*,2MASS J04220496+1934483
2MASS J04221332+1934392,Gaia DR2 48193316928788352,,04 22 13.32,+19 34 39.4,6.416,-12.410,7.314,GaiaDR2,,,19,1,1,1,0,*,2MASS J04221332+1934392
2MASS J04221568+2657060,Gaia DR2 152293359861143040,XEST11-078,04 22 15.67,+26 57 06.1,,,,,15.570,17,0,0,1,1,0,,2MASS J04221568+2657060
2MASS J04221644+2549118,Gaia DR2 150501362066641664,,04 22 16.44,+25 49 12.0,14.126,-19.654,6.641,GaiaDR2,14.600,17,0,0,1,1,0,,2MASS J04221644+2549118
2MASS J04221675+2654570,Gaia DR2 152288824375681536,IRASF04192+2647,04 22 16.75,+26 54 57.2,11.307,-17.597,6.377,GaiaDR2,15.860,17,0,0,1,1,0,,2MASS J04221675+2654570
2MASS J04222404+2646258,Gaia DR2 152099055539792000,XEST11-087,04 22 24.05,+26 46 25.7,11.413,-17.856,6.155,GaiaDR2,16.860,17,8,1,1,1,0,*,2MASS J04222404+2646258
2MASS J04224786+2645530,Gaia DR2 152098299625634816,IRAS04196+2638,04 22 47.88,+26 45 52.9,10.743,-17.142,6.372,GaiaDR2,16.490,17,8,1,1,1,0,*,2MASS J04224786+2645530
2MASS J04225416+2439538,Gaia DR2 149525098819498752,,04 22 54.18,+24 39 53.4,7.994,-23.411,7.890,GaiaDR2,,,0,0,0,1,0,,2MASS J04225416+2439538
2MASS J04230607+2801194,Gaia DR2 152516079683687680,,04 23 06.07,+28 01 19.6,7.929,-26.682,7.499,GaiaDR2,15.790,17,7,1,1,1,0,*,2MASS J04230607+2801194
2MASS J04230776+2805573,Gaia DR2 152518828462749440,IRAS04200+2759,04 23 07.78,+28 05 57.5,9.654,-27.014,7.221,GaiaDR2,,,7,1,1,1,0,*,2MASS J04230776+2805573
2MASS J04231822+2641156,Gaia DR2 152082214971294976,,04 23 18.24,+26 41 15.7,,,,,17.050,17,0,0,1,1,0,,2MASS J04231822+2641156
2MASS J04233290+1950193,Gaia DR2 48297530014248704,PSOJ065.8871+19.8386,04 23 32.92,+19 50 19.1,8.309,-10.676,6.844,GaiaDR2,,,0,0,0,1,0,,2MASS J04233290+1950193
2MASS J04233539+2503026,Gaia DR2 149629483705467008,FUTauA,04 23 35.40,+25 03 02.5,6.895,-21.026,7.628,GaiaDR2,17.540,17,9,1,1,1,0,*,2MASS J04233539+2503026
2MASS J04233573+2502596,Gaia DR2 149629479408410240,FUTauB,04 23 35.75,+25 02 59.3,12.450,-21.761,7.521,GaiaDR2,,,0,0,0,1,0,,2MASS J04233573+2502596
2MASS J04233919+2456141,Gaia DR2 149623711269425408,FTTau,04 23 39.19,+24 56 14.3,6.918,-21.698,7.854,GaiaDR2,17.240,17,9,1,1,1,0,*,2MASS J04233919+2456141
2MASS J04242090+2630511,Gaia DR2 152029992465874560,,04 24 20.90,+26 30 51.1,9.255,-27.366,7.298,GaiaDR2,16.170,17,7,0,1,1,0,,2MASS J04242090+2630511
2MASS J04242321+2650084,Gaia DR2 152109054223716480,,04 24 23.23,+26 50 08.1,11.491,-18.347,6.493,GaiaDR2,16.880,17,0,0,0,1,0,,2MASS J04242321+2650084
2MASS J04242646+2649503,Gaia DR2 152108882425024128,,04 24 26.47,+26 49 50.5,11.579,-17.861,6.460,GaiaDR2,16.530,17,8,0,1,1,0,,2MASS J04242646+2649503
2MASS J04243380+1529345,Gaia DR2 3311263796300229248,,04 24 33.81,+15 29 34.2,13.567,-19.601,6.851,GaiaDR2,,,0,0,0,0,1,,2MASS J04243380+1529345
2MASS J04244457+2610141,Gaia DR2 152000786688289664,IRAS04216+2603,04 24 44.59,+26 10 14.2,11.866,-17.322,6.297,GaiaDR2,17.850,17,8,0,1,1,0,,2MASS J04244457+2610141
2MASS J04244506+2701447,Gaia DR2 152118881108855680,J1-4423,04 24 45.07,+27 01 44.8,8.394,-26.844,7.921,GaiaDR2,15.400,17,7,0,1,1,0,,2MASS J04244506+2701447
2MASS J04244815+2643161,Gaia DR2 152104381299305728,RXJ0424.8+2643,04 24 48.17,+26 43 15.8,10.839,-13.235,6.363,VLBI,,,0,0,0,1,0,,2MASS J04244815+2643161
2MASS J04244904+2643104,Gaia DR2 152104381299305600,HD283641,04 24 49.06,+26 43 10.1,10.913,-16.772,6.285,VLBI,,,8,1,0,1,0,*,2MASS J04244904+2643104
2MASS J04244926+2643030,Gaia DR2 152104381299305856,,04 24 49.27,+26 43 02.8,12.670,-17.445,6.793,GaiaDR2,17.490,18,0,0,0,0,1,,2MASS J04244926+2643030
2MASS J04245021+2641006,Gaia DR2 152057239738385792,,04 24 50.22,+26 41 00.4,12.341,-17.218,6.557,GaiaDR2,17.570,17,8,1,0,1,0,*,2MASS J04245021+2641006
2MASS J04245708+2711565,Gaia DR2 152226491513195648,IPTau,04 24 57.07,+27 11 56.4,8.359,-26.747,7.688,GaiaDR2,16.240,15,7,0,1,1,0,,2MASS J04245708+2711565
2MASS J04251550+2829275,Gaia DR2 152917298349085824,,04 25 15.52,+28 29 27.1,10.787,-25.045,7.545,GaiaDR2,,,7,0,0,1,0,,2MASS J04251550+2829275
2MASS J04251767+2617504,Gaia DR2 152009033025476352,J1-4872B,04 25 17.50,+26 17 48.3,,,,,,,0,0,0,1,0,,[HJS91] 4872B
2MASS J04251767+2617504,Gaia DR2 152009028728671744,J1-4872A,04 25 17.70,+26 17 50.3,28.987,-11.374,6.013,GaiaDR2,,,0,0,1,1,0,,2MASS J04251767+2617504
2MASS J04262939+2624137,Gaia DR2 151283870746458496,KPNO3,04 26 29.40,+26 24 13.7,10.898,-17.854,6.445,GaiaDR2,17.550,17,8,1,1,1,0,*,2MASS J04262939+2624137
2MASS J04263055+2443558,Gaia DR2 149409920679460096,,04 26 30.55,+24 43 55.9,2.745,-22.020,8.440,GaiaDR2,,,0,0,1,1,0,,2MASS J04263055+2443558
2MASS J04264449+2756433,Gaia DR2 152466120624336896,,04 26 44.51,+27 56 42.9,8.838,-25.182,7.598,GaiaDR2,,,7,0,0,1,0,,2MASS J04264449+2756433
2MASS J04265352+2606543,Gaia DR2 151262911306127744,FVTauA+B,04 26 53.52,+26 06 54.4,,,,,,,0,0,1,1,0,,2MASS J04265352+2606543
2MASS J04265440+2606510,Gaia DR2 151262941369626752,FVTau/cA+B,04 26 54.41,+26 06 51.1,3.984,-20.400,7.177,GaiaDR2,,,0,0,1,1,0,,2MASS J04265440+2606510
2MASS J04265629+2443353,,IRAS04239+2436,04 26 56.30,+24 43 35.4,,,,,,,0,0,1,1,0,,2MASS J04265629+2443353
2MASS J04265732+2606284,Gaia DR2 151262876946558976,KPNO13,04 26 57.34,+26 06 28.4,5.194,-20.710,7.528,GaiaDR2,16.370,17,16,0,1,1,0,,2MASS J04265732+2606284
2MASS J04270266+2605304,,DGTauB,04 27 02.66,+26 05 30.5,,,,,,,0,0,1,1,0,,2MASS J04270266+2605304
2MASS J04270280+2542223,Gaia DR2 151179966897747840,DFTauA+B,04 27 02.81,+25 42 22.3,3.504,-26.650,8.071,GaiaDR2,16.460,17,0,0,1,1,0,,2MASS J04270280+2542223
2MASS J04270469+2606163,Gaia DR2 151262700852297728,DGTau,04 27 04.70,+26 06 16.2,6.156,-19.297,8.282,GaiaDR2,15.400,15,0,0,1,1,0,,2MASS J04270469+2606163
2MASS J04270739+2215037,Gaia DR2 145494460991086976,,04 27 07.39,+22 15 04.0,7.239,-17.219,6.232,GaiaDR2,16.800,16,0,0,1,1,0,,2MASS J04270739+2215037
2MASS J04272467+2624199,Gaia DR2 151286550806099712,,04 27 24.69,+26 24 19.5,11.196,-18.049,6.235,GaiaDR2,17.420,17,8,1,0,1,0,*,2MASS J04272467+2624199
2MASS J04272799+2612052,Gaia DR2 151265002954775936,KPNO4,04 27 28.01,+26 12 05.4,1.805,-23.448,7.454,GaiaDR2,,,0,0,1,1,0,,2MASS J04272799+2612052
2MASS J04274538+2357243,Gaia DR2 146319193494413696,,04 27 45.38,+23 57 24.5,11.273,-16.573,6.273,GaiaDR2,,,18,0,1,1,0,,2MASS J04274538+2357243
2MASS J04274951+2738155,,,04 27 49.52,+27 38 15.6,,,,,,,0,0,0,1,0,,2MASS J04274951+2738155
2MASS J04275730+2619183,,IRAS04248+2612,04 27 57.31,+26 19 18.5,,,,,16.930,17,0,0,1,1,0,,2MASS J04275730+2619183
2MASS J04281566+2711110,Gaia DR2 152178976290554496,,04 28 15.68,+27 11 10.6,8.194,-26.734,7.619,GaiaDR2,,,7,0,0,1,0,,2MASS J04281566+2711110
,,L1521F-IRS,04 28 38.88,+26 51 34.6,,,,,,,0,0,1,1,0,,NAME LDN 1521F IRS
2MASS J04284263+2714039,Gaia DR2 152180827420224128,,04 28 42.62,+27 14 03.8,8.262,-25.276,7.561,GaiaDR2,17.400,17,7,0,1,1,0,,2MASS J04284263+2714039
,Gaia DR2 152180831716415488,J04284263+2714039B,04 28 42.64,+27 14 03.2,9.830,-26.556,7.536,GaiaDR2,,,0,0,0,1,0,,Gaia DR2 152180831716415488
2MASS J04285053+1844361,Gaia DR2 3314586142482134144,,04 28 50.56,+18 44 35.8,12.085,-18.572,7.368,GaiaDR2,,,0,0,0,1,0,,2MASS J04285053+1844361
2MASS J04290068+2755033,Gaia DR2 152643240779301632,,04 29 00.67,+27 55 03.4,8.648,-25.258,6.896,GaiaDR2,,,0,0,1,1,0,,2MASS J04290068+2755033
2MASS J04290498+2649073,Gaia DR2 151393577095005312,IRAS04260+2642,04 29 04.99,+26 49 07.3,,,,,18.890,17,0,0,1,1,0,,2MASS J04290498+2649073
2MASS J04291717+1826375,Gaia DR2 3314527456049017600,,04 29 17.17,+18 26 37.7,6.416,-18.713,5.228,GaiaDR2,,,0,0,0,0,1,,2MASS J04291717+1826375
2MASS J04291983+2724153,Gaia DR2 152189662169148288,HD28354,04 29 19.84,+27 24 14.8,7.265,-25.149,7.319,GaiaDR2,,,7,0,0,1,0,,2MASS J04291983+2724153
2MASS J04292071+2633406,Gaia DR2 151373820245230080,J1-507,04 29 20.71,+26 33 40.7,7.911,-20.409,7.767,GaiaDR2,18.260,17,0,0,1,1,0,,2MASS J04292071+2633406
2MASS J04292165+2701259,Gaia DR2 151423440003137024,IRAS04263+2654,04 29 21.65,+27 01 26.0,,,,,16.770,17,0,0,1,1,0,,2MASS J04292165+2701259
2MASS J04292373+2433002,Gaia DR2 149367383323435648,GVTauA+B,04 29 23.74,+24 33 00.4,8.695,-25.085,5.593,GaiaDR2,,,0,0,1,1,0,,2MASS J04292373+2433002
2MASS J04292852+2106069,Gaia DR2 144559188913607168,,04 29 28.53,+21 06 06.7,8.277,-18.561,5.712,GaiaDR2,,,0,0,0,0,1,,2MASS J04292852+2106069
2MASS J04292971+2616532,Gaia DR2 151313901157347840,FWTauA+B+C,04 29 29.71,+26 16 53.0,,,,,17.340,17,0,0,1,1,0,,2MASS J04292971+2616532
2MASS J04293008+2439550,,IRAS04264+2433,04 29 30.07,+24 39 55.1,,,,,15.850,17,0,0,1,1,0,,2MASS J04293008+2439550
2MASS J04293011+2239154,Gaia DR2 145886539965771648,,04 29 30.12,+22 39 15.1,9.015,-17.726,6.201,GaiaDR2,,,18,0,0,0,1,,2MASS J04293011+2239154
2MASS J04293209+2430597,,,04 29 32.11,+24 30 59.8,,,,,,,0,0,1,1,0,,2MASS J04293209+2430597
2MASS J04293606+2435556,Gaia DR2 149369139966814976,XEST13-010,04 29 36.07,+24 35 55.7,8.567,-20.203,7.757,GaiaDR2,16.910,17,16,0,1,1,0,,2MASS J04293606+2435556
2MASS J04294155+2632582,Gaia DR2 151374202498079872,DHTauA+B,04 29 41.57,+26 32 58.2,7.065,-20.699,7.418,GaiaDR2,16.520,15,16,0,1,1,0,,2MASS J04294155+2632582
2MASS J04294247+2632493,Gaia DR2 151374198202645376,DITauA+B,04 29 42.48,+26 32 49.2,6.899,-21.207,7.431,GaiaDR2,15.103,15,16,0,1,1,0,,2MASS J04294247+2632493
2MASS J04294568+2630468,Gaia DR2 151327159721125888,KPNO5,04 29 45.67,+26 30 46.8,6.868,-20.967,7.829,GaiaDR2,15.770,17,16,0,1,1,0,,2MASS J04294568+2630468
2MASS J04295156+2606448,Gaia DR2 151297958238753664,IQTau,04 29 51.55,+26 06 45.0,5.954,-21.008,7.648,GaiaDR2,15.830,15,0,0,1,1,0,,2MASS J04295156+2606448
2MASS J04295422+1754041,Gaia DR2 3314212514687403264,,04 29 54.24,+17 54 04.3,12.804,-17.272,8.233,GaiaDR2,,,0,0,1,1,0,,2MASS J04295422+1754041
2MASS J04295950+2433078,Gaia DR2 146366442430208640,,04 29 59.52,+24 33 07.9,8.184,-21.444,7.656,GaiaDR2,17.540,17,16,1,1,1,0,*,2MASS J04295950+2433078
2MASS J04300357+1813494,Gaia DR2 3314508626912469888,UXTauB,04 30 03.59,+18 13 49.2,13.863,-20.037,7.331,GaiaDR2,24.000,1,0,0,0,1,0,,2MASS J04300357+1813494
,Gaia DR2 3314508622617470848,UXTauC,04 30 04.00,+18 13 46.5,12.333,-19.873,6.880,GaiaDR2,,,0,0,0,1,0,,Gaia DR2 3314508622617470848
2MASS J04300399+1813493,Gaia DR2 3314508622616073472,UXTauA,04 30 04.01,+18 13 49.4,12.860,-17.793,7.177,GaiaDR2,15.450,15,0,0,1,1,0,,2MASS J04300399+1813493
2MASS J04300724+2608207,Gaia DR2 151296579553731456,KPNO6,04 30 07.25,+26 08 20.8,2.667,-21.925,8.646,GaiaDR2,,,0,0,1,1,0,,2MASS J04300724+2608207
2MASS J04302365+2359129,Gaia DR2 146285112929523456,,04 30 23.66,+23 59 12.8,4.732,-21.971,7.699,GaiaDR2,,,0,0,1,1,0,,2MASS J04302365+2359129
2MASS J04302961+2426450,Gaia DR2 146361013591547776,FXTauB,04 30 29.62,+24 26 44.9,,,,,16.363,15,0,0,1,1,0,,V* FX Tau B
2MASS J04302961+2426450,Gaia DR2 146361013590374144,FXTauA,04 30 29.62,+24 26 44.9,,,,,16.363,15,0,0,1,1,0,,V* FX Tau A
2MASS J04304184+1719428,Gaia DR2 3314102254287178752,,04 30 41.86,+17 19 42.5,11.632,-18.849,6.927,GaiaDR2,,,20,0,0,0,1,,2MASS J04304184+1719428
2MASS J04304425+2601244,Gaia DR2 151106780654065792,DKTauA,04 30 44.25,+26 01 24.4,6.244,-21.203,7.811,GaiaDR2,16.290,15,16,0,1,1,0,,V* DK Tau A
2MASS J04304425+2601244,Gaia DR2 151106780653458944,DKTauB,04 30 44.40,+26 01 23.2,8.574,-21.730,7.218,GaiaDR2,,,0,0,0,1,0,,V* DK Tau B
2MASS J04305028+2300088,Gaia DR2 145921994918655488,IRAS04278+2253A,04 30 50.28,+23 00 09.0,11.851,-15.679,8.077,GaiaDR2,15.950,17,0,0,1,1,0,,2MASS J04305028+2300088
,Gaia DR2 145921999215653632,IRAS04278+2253B,04 30 50.38,+23 00 08.4,10.590,-13.834,7.939,GaiaDR2,,,0,0,0,1,0,,Gaia DR2 145921999215653632
2MASS J04305137+2442222,Gaia DR2 147869784062378624,ZZTau,04 30 51.38,+24 42 22.3,7.045,-20.944,7.480,GaiaDR2,17.710,17,0,0,1,1,0,,2MASS J04305137+2442222
2MASS J04305171+2441475,Gaia DR2 147869573608324992,ZZTauIRS,04 30 51.72,+24 41 47.4,11.520,-24.497,9.543,GaiaDR2,18.160,17,0,0,1,1,0,,2MASS J04305171+2441475
2MASS J04305718+2556394,Gaia DR2 151102790629500288,KPNO7,04 30 57.19,+25 56 39.5,5.424,-23.019,8.172,GaiaDR2,,,16,0,1,1,0,,2MASS J04305718+2556394
2MASS J04311444+2710179,Gaia DR2 151793082068521856,JH56,04 31 14.45,+27 10 18.1,9.172,-27.575,7.874,GaiaDR2,16.640,17,11,1,1,1,0,*,2MASS J04311444+2710179
2MASS J04311578+1820072,Gaia DR2 3314328822401984768,MHO9,04 31 15.79,+18 20 07.1,12.327,-18.074,7.062,GaiaDR2,13.800,10,20,1,1,1,0,*,2MASS J04311578+1820072
2MASS J04311907+2335047,Gaia DR2 146050057959093632,,04 31 19.08,+23 35 04.6,8.083,-16.604,5.859,GaiaDR2,19.260,17,18,0,1,1,0,,2MASS J04311907+2335047
2MASS J04312382+2410529,,V927TauA+B,04 31 23.83,+24 10 53.0,,,,,16.490,17,0,0,1,1,0,,2MASS J04312382+2410529
2MASS J04312405+1800215,Gaia DR2 3314299238667410176,MHO4,04 31 24.07,+18 00 21.6,10.692,-19.570,6.929,GaiaDR2,19.100,9,20,1,1,1,0,*,2MASS J04312405+1800215
2MASS J04312669+2703188,Gaia DR2 151787064819255936,,04 31 26.69,+27 03 18.7,13.988,-19.891,7.019,GaiaDR2,,,10,1,1,1,0,*,2MASS J04312669+2703188
2MASS J04313407+1808049,,L1551/IRS5,04 31 34.08,+18 08 04.9,,,,,,,0,0,1,1,0,,2MASS J04313407+1808049
2MASS J04313613+1813432,Gaia DR2 3314312226648610560,LkHa358,04 31 36.12,+18 13 43.3,11.776,-17.996,9.776,GaiaDR2,17.900,10,0,0,1,1,0,,2MASS J04313613+1813432
2MASS J04313747+1812244,,HH30,04 31 37.46,+18 12 24.5,,,,,,,0,0,1,1,0,,2MASS J04313747+1812244
2MASS J04313843+1813576,,HLTau,04 31 38.45,+18 13 57.7,,,,,,,0,0,1,1,0,,2MASS J04313843+1813576
2MASS J04314007+1813571,Gaia DR2 3314312604605602688,XZTauA+B,04 31 40.08,+18 13 57.4,10.858,-16.264,6.793,VLBI,18.300,15,20,1,1,1,0,*,2MASS J04314007+1813571
2MASS J04314444+1808315,,L1551NE,04 31 44.45,+18 08 31.6,,,,,,,0,0,1,1,0,,2MASS J04314444+1808315
2MASS J04314644+2506236,Gaia DR2 150908490604475520,,04 31 46.46,+25 06 23.2,9.733,-26.055,7.602,GaiaDR2,18.360,17,0,0,0,1,0,,2MASS J04314644+2506236
2MASS J04315056+2424180,Gaia DR2 147847072275324416,HKTauA+B,04 31 50.57,+24 24 18.0,4.464,-22.961,7.530,GaiaDR2,15.660,17,16,0,1,1,0,,2MASS J04315056+2424180
2MASS J04315779+1821380,Gaia DR2 3314326829537259648,V710TauA,04 31 57.79,+18 21 38.2,12.101,-17.661,6.930,GaiaDR2,15.750,15,20,1,1,1,0,*,2MASS J04315779+1821380
2MASS J04315779+1821350,Gaia DR2 3314326722162541056,V710TauB,04 31 57.81,+18 21 34.4,8.967,-18.463,7.026,GaiaDR2,,,0,0,0,1,0,,2MASS J04315779+1821350
2MASS J04315844+2543299,Gaia DR2 151037064744973696,J1-665,04 31 58.44,+25 43 30.0,7.549,-21.144,6.583,GaiaDR2,9.280,17,0,0,1,1,0,,2MASS J04315844+2543299
2MASS J04315919+2711190,Gaia DR2 151795487250202240,,04 31 59.20,+27 11 18.6,8.435,-27.385,7.686,GaiaDR2,,,11,1,0,0,1,*,2MASS J04315919+2711190
2MASS J04315968+1821305,Gaia DR2 3314326760817782528,LkHa267,04 31 59.69,+18 21 30.6,10.367,-17.164,6.467,GaiaDR2,,,20,1,1,1,0,*,2MASS J04315968+1821305
2MASS J04320157+1815229,,,04 32 01.57,+18 15 23.0,,,,,,,0,0,0,1,0,,2MASS J04320157+1815229
2MASS J04320329+2528078,Gaia DR2 151028990206478080,,04 32 03.29,+25 28 07.7,8.093,-22.810,7.699,GaiaDR2,16.830,17,16,0,1,1,0,,2MASS J04320329+2528078
2MASS J04320926+1757227,Gaia DR2 3314251749212034816,L1551-51,04 32 09.26,+17 57 22.7,11.837,-19.495,7.000,GaiaDR2,18.390,15,20,1,1,1,0,*,2MASS J04320926+1757227
2MASS J04321456+1820147,Gaia DR2 3314338163954491136,V827Tau,04 32 14.57,+18 20 14.6,9.550,-13.406,6.173,GaiaDR2,17.770,15,0,0,1,1,0,,2MASS J04321456+1820147
2MASS J04321540+2428597,Gaia DR2 147806733942555008,Haro6-13,04 32 15.41,+24 28 59.9,5.017,-21.378,7.695,GaiaDR2,15.500,17,0,0,1,1,0,,2MASS J04321540+2428597
2MASS J04321583+1801387,Gaia DR2 3314258999116827776,V826TauA+B,04 32 15.84,+18 01 38.6,11.948,-19.261,6.963,GaiaDR2,17.470,5,20,1,1,1,0,*,2MASS J04321583+1801387
2MASS J04321606+1812464,Gaia DR2 3314309890186259712,MHO5,04 32 16.08,+18 12 46.4,13.081,-17.566,6.945,GaiaDR2,20.800,9,20,1,1,1,0,*,2MASS J04321606+1812464
2MASS J04321786+2422149,Gaia DR2 147799209159857280,,04 32 17.86,+24 22 14.9,6.255,-22.196,8.083,GaiaDR2,15.810,17,16,1,1,1,0,*,2MASS J04321786+2422149
2MASS J04321885+2422271,Gaia DR2 147799312239072000,V928TauA+B,04 32 18.86,+24 22 27.1,,,,,15.380,15,0,0,1,1,0,,2MASS J04321885+2422271
2MASS J04322210+1827426,Gaia DR2 3314351053152780032,MHO6,04 32 22.10,+18 27 42.5,11.796,-18.596,7.076,GaiaDR2,13.600,10,20,1,1,1,0,*,2MASS J04322210+1827426
2MASS J04322329+2403013,Gaia DR2 146277553787186048,,04 32 23.30,+24 03 01.4,7.361,-22.425,7.708,GaiaDR2,16.070,17,16,1,1,1,0,*,2MASS J04322329+2403013
2MASS J04322415+2251083,Gaia DR2 145950895754320384,,04 32 24.17,+22 51 08.3,9.994,-17.425,6.466,GaiaDR2,16.510,17,18,1,1,1,0,*,2MASS J04322415+2251083
2MASS J04322464+2321382,Gaia DR2 146028102086382464,,04 32 24.66,+23 21 37.9,8.195,-21.952,7.612,GaiaDR2,17.010,17,16,0,0,0,1,,2MASS J04322464+2321382
2MASS J04322627+1827521,Gaia DR2 3314352530621527296,MHO7,04 32 26.28,+18 27 52.2,11.206,-17.254,6.784,GaiaDR2,16.900,10,20,1,1,1,0,*,2MASS J04322627+1827521
2MASS J04322873+2746117,Gaia DR2 151851867285622528,,04 32 28.75,+27 46 11.3,13.958,-20.798,6.788,GaiaDR2,,,10,1,0,0,1,*,2MASS J04322873+2746117
2MASS J04323028+1731303,Gaia DR2 3314132593936245248,GGTauBa,04 32 30.29,+17 31 30.4,12.675,-20.399,6.694,GaiaDR2,16.800,9,20,1,1,1,0,*,Gaia DR2 3314132593936245248
2MASS J04323034+1731406,Gaia DR2 3314132593936244992,GGTauAa+Ab,04 32 30.36,+17 31 40.8,28.905,-39.615,-6.623,GaiaDR2,18.080,15,0,0,1,1,0,,2MASS J04323034+1731406
,Gaia DR2 3314132593934981248,GGTauBb,04 32 30.36,+17 31 29.1,13.525,-19.557,7.230,GaiaDR2,,,0,0,0,1,0,,Gaia DR2 3314132593934981248
2MASS J04323054+2328564,Gaia DR2 146055624236793472,,04 32 30.56,+23 28 56.2,11.263,-17.762,6.602,GaiaDR2,,,0,0,0,0,1,,2MASS J04323054+2328564
2MASS J04323058+2419572,Gaia DR2 147796013704189440,FYTau,04 32 30.58,+24 19 57.4,6.651,-21.855,7.710,GaiaDR2,15.820,17,16,1,1,1,0,*,2MASS J04323058+2419572
2MASS J04323176+2420029,Gaia DR2 147796013704188928,FZTau,04 32 31.75,+24 20 03.1,7.121,-21.497,7.721,GaiaDR2,16.000,17,16,1,1,1,0,*,2MASS J04323176+2420029
2MASS J04323205+2257266,,IRAS04295+2251,04 32 32.06,+22 57 26.6,,,,,15.830,17,0,0,1,1,0,,2MASS J04323205+2257266
2MASS J04324107+1809239,Gaia DR2 3314261649113588608,RXJ0432.7+1809,04 32 41.09,+18 09 23.7,12.503,-19.279,6.925,GaiaDR2,,,20,1,0,1,0,*,2MASS J04324107+1809239
